ID,name,meanScore,standardDeviation,scaledScore20,scaledScore25,scaledScore30,scaledScore35,scaledScore40,scaledScore45,scaledScore50,isSmallStudy
AC,Accounting,30.6,7.2,20,25,30,36,41,46,50,FALSE
AH,Agricultural & Horticultural Studies,24.5,6.9,14,19,23,28,34,41,50,FALSE
AL03,Algorithmics (HESS),35.1,6.5,24,30,35,40,44,48,50,FALSE
AT,Art,27.2,7.6,14,20,26,32,38,45,50,FALSE
BI,Biology,30.5,7.2,20,25,30,36,41,46,50,FALSE
BM,Business Management,26.7,7.2,16,21,26,31,37,43,50,FALSE
CH,Chemistry,33.8,7.2,22,28,34,39,44,47,50,FALSE
CC,Classical Studies,30.1,7.6,19,24,30,36,41,46,50,FALSE
IT02,Computing: Informatics,25.7,6.9,14,19,24,30,36,43,50,FALSE
IT03,Computing: Software Development,27.7,6.9,16,21,26,32,38,44,50,FALSE
DA,Dance,28.3,6.7,19,24,29,34,39,44,50,FALSE
DR,Drama,27.9,7.2,17,22,27,33,39,44,50,FALSE
EC,Economics,32.3,7.0,22,27,32,37,42,46,50,FALSE
EN,English,28.1,7.5,17,22,28,33,39,45,50,FALSE
EF,English (EAL),29.4,7.9,17,23,29,35,41,46,50,FALSE
EG,English Language,32.8,7.0,22,28,33,38,43,47,50,FALSE
EV,Environmental Science,28.4,7.2,18,22,28,33,38,44,50,FALSE
XI03,Extended Investigation,32.3,7.2,21,27,32,38,43,47,50,FALSE
FT,Food Studies,24.0,7.2,14,18,23,28,35,42,50,FALSE
GE,Geography,28.8,7.1,18,23,29,34,40,45,50,FALSE
HH,Health and Human Development,26.5,7.3,16,21,26,31,37,43,50,FALSE
HI17,History: Ancient History,27.8,8.1,15,21,27,34,40,46,50,FALSE
HA,History: Australian History,27.9,8.1,16,21,27,33,40,45,50,FALSE
HR,History: Revolutions,29.3,7.6,18,23,29,35,40,46,50,FALSE
IE,"Industry and Enterprise
Languages:",22.5,7.3,9,14,20,27,35,43,50,FALSE
AR,Arabic,29.4,6.8,18,24,29,34,40,45,50,FALSE
AM,Armenian,0,0,0,0,0,0,0,0,0,TRUE
AU,Auslan,30.8,7.3,20,25,30,35,40,45,50,FALSE
LO50,Bosnian,0,0,0,0,0,0,0,0,0,TRUE
LO53,Chin Hakha,30.5,5.6,21,25,28,32,37,42,50,FALSE
CN,Chinese First Language,35.3,7.4,20,28,34,40,45,48,50,FALSE
CK,Chinese Second Lang. Adv.,38.0,7.3,26,32,38,43,47,51,53,FALSE
CL,Chinese Second Language,40.4,6.6,30,36,41,45,49,52,54,FALSE
AG,Classical Greek,39.6,6.7,29,35,41,45,48,51,53,FALSE
CR,Croatian,31.6,6.4,22,28,33,39,43,47,50,FALSE
DU,Dutch,0,0,0,0,0,0,0,0,0,TRUE
FP,Filipino,31.6,6.4,21,25,30,35,39,44,50,FALSE
FR,French,40.3,6.6,30,36,41,45,49,52,53,FALSE
GN,German,38.4,6.4,29,34,39,43,47,49,51,FALSE
MG,Greek,34.2,6.3,24,29,34,39,43,47,50,FALSE
HB,Hebrew,41.1,6.2,31,37,43,47,50,52,54,FALSE
HI,Hindi,35.7,7.2,20,27,34,40,45,49,50,FALSE
